Municipio;Codigo;Total2020 (ha);Algodăo herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grăo);Batatadoce;Batatainglesa;Canadeaçúcar;Cana para forragem;Cebola;Centeio (em grăo);Cevada (em grăo);Ervilha (em grăo);Fava (em grăo);Feijăo (em grăo);Fumo (em folha);Girassol (em grăo);Juta (fibra);Linho (semente);Malva (fibra);Mamona (baga);Mandioca;Melancia;Melăo;Milho (em grăo);Rami (fibra);Soja (em grăo);Sorgo (em grăo);Tomate;Trigo (em grăo)
Adamantina ;3500105;12276;0;0;200;0;0;0;0;11349;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;200;0;500;0;7;0
Adolfo ;3500204;6696;0;0;1100;0;0;0;0;5015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;400;0;96;0
Aguaí ;3500303;19880;145;0;0;0;0;0;0;11500;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;5000;0;3000;0;45;0
Águas da Prata ;3500402;680;0;0;0;0;0;0;50;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0
Águas de Lindóia ;3500501;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;50;0;0;0;1;0
Águas de Santa Bárbara ;3500550;21810;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;710;0;0;0;0;0;0;0;0;0;5300;0;8000;2500;0;0
Águas de Săo Pedro ;3500600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agudos ;3500709;12477;0;0;0;0;0;0;0;10500;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;300;0;1497;120;0;0
Alambari ;3500758;4910;0;0;0;0;0;0;0;800;0;0;0;0;0;0;100;0;0;0;0;0;0;350;300;0;1300;0;1800;0;10;0
Alfredo Marcondes ;3500808;450;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;150;0;0;0;0;0
Altair ;3500907;15982;0;0;300;0;0;0;0;14700;0;0;0;0;0;0;20;0;0;0;0;0;0;12;0;0;350;0;600;0;0;0
Altinópolis ;3501004;27910;0;0;0;0;0;0;0;23112;0;40;0;0;0;0;115;0;0;0;0;0;0;6;0;0;1547;0;2240;850;0;0
Alto Alegre ;3501103;14120;0;0;1200;0;0;0;0;12700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;200;0;0;0;0;0
Alumínio ;3501152;271;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;240;0;0;0;1;0
Álvares Florence ;3501202;9606;290;0;0;0;0;0;0;7954;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;640;0;680;29;1;0
Álvares Machado ;3501301;1995;10;0;5;0;0;400;0;800;0;0;0;0;0;0;30;0;0;0;0;0;0;80;20;0;525;0;45;0;80;0
Álvaro de Carvalho ;3501400;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;0;0;60;0;0;0;0;0
Alvinlândia ;3501509;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;122;0;0;260;0;0;0;2;0
Americana ;3501608;2110;0;0;0;0;0;0;0;2110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Américo Brasiliense ;3501707;8550;0;0;100;0;0;0;0;8400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0
Américo de Campos ;3501806;8036;144;0;0;0;0;0;0;7200;0;0;0;0;0;0;31;0;0;0;0;0;0;0;1;0;250;0;350;60;0;0
Amparo ;3501905;2901;0;0;0;1;7;1;0;1675;0;0;0;0;0;0;19;0;0;0;0;0;0;13;0;0;1120;0;48;3;14;0
Analândia ;3502002;10680;0;0;0;0;0;0;0;9600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;0;600;0;0;0
Andradina ;3502101;42129;0;0;370;0;0;0;0;40309;0;0;0;0;0;0;150;0;0;0;0;0;0;40;0;0;1100;0;30;0;130;0
Angatuba ;3502200;16142;216;0;0;0;0;0;150;400;0;0;0;0;0;0;1050;0;0;0;0;0;0;10;15;0;5500;0;7500;600;1;0
Anhembi ;3502309;12700;0;0;0;0;0;0;0;10800;0;0;0;0;0;0;0;0;0;0;0;0;0;1400;0;0;500;0;0;0;0;0
Anhumas ;3502408;8841;0;0;100;0;0;442;0;5934;0;0;0;0;0;0;15;0;0;0;0;0;0;0;60;0;765;0;1500;0;25;0
Aparecida ;3502507;260;0;0;0;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aparecida d'Oeste ;3502606;1765;0;0;0;0;0;0;0;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;150;0;0;0;0;0
Apiaí ;3502705;6622;0;0;0;2;0;2;6;0;0;8;0;0;0;0;36;0;0;0;0;0;0;15;3;0;5000;0;1200;0;0;0
Araçariguama ;3502754;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;150;0;0;0;1;0
Araçatuba ;3502804;48319;0;0;0;0;0;0;0;33800;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;6400;0;7400;500;0;0
Araçoiaba da Serra ;3502903;3237;0;0;0;0;0;1;0;200;0;0;0;0;0;0;80;0;0;0;0;0;0;303;90;0;1450;0;1000;0;5;0
Aramina ;3503000;14263;0;0;7;0;0;0;0;12000;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;236;0;1916;100;0;0
Arandu ;3503109;14800;0;0;0;0;0;0;0;300;0;0;0;0;0;0;1200;0;0;0;0;0;0;100;0;0;5600;0;7000;0;0;0
Arapeí ;3503158;99;0;0;0;0;0;0;0;59;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0
Araraquara ;3503208;41050;0;0;300;0;0;10;0;38000;0;0;0;0;0;0;60;0;0;0;0;0;0;55;0;0;1100;0;1500;20;5;0
Araras ;3503307;43350;0;0;0;0;0;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;0;1500;0;1400;0;0;0
ArcoÍris ;3503356;6555;0;0;2000;0;0;50;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;1215;40;0;250;0;0;0;0;0
Arealva ;3503406;13322;0;0;1200;0;0;0;0;10372;0;0;0;0;0;0;23;0;53;0;0;0;0;7;125;0;100;0;986;450;6;0
Areias ;3503505;129;0;0;0;4;0;0;0;30;0;0;0;0;0;0;30;0;0;0;0;0;0;5;0;0;60;0;0;0;0;0
Areiópolis ;3503604;8030;0;0;0;0;0;0;0;8000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0
Ariranha ;3503703;8860;0;0;200;0;0;0;0;8600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;30;0;0;0
Artur Nogueira ;3503802;6731;0;0;0;0;0;0;0;4000;0;0;0;0;0;0;9;0;0;0;0;0;0;672;0;0;1800;0;250;0;0;0
Arujá ;3503901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aspásia ;3503950;947;0;0;0;0;0;0;0;945;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Assis ;3504008;27884;0;0;500;0;200;0;0;10481;0;0;0;0;0;0;0;0;0;0;0;0;0;806;0;0;7895;0;8000;0;2;0
Atibaia ;3504107;2619;0;0;0;0;300;0;0;50;0;0;0;0;0;0;50;0;0;0;0;0;0;40;0;0;1100;0;1000;70;9;0
Auriflama ;3504206;8008;0;0;0;0;0;0;0;7080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;600;0;250;0;0;0
Avaí ;3504305;2718;0;0;0;0;0;76;0;1712;0;0;0;0;0;0;0;0;0;0;0;0;0;460;420;0;50;0;0;0;0;0
Avanhandava ;3504404;24212;0;0;0;0;0;0;0;23500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;612;0;0;0
Avaré ;3504503;29890;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;1700;0;0;0;0;0;0;90;0;0;7000;0;8500;200;0;0
Bady Bassitt ;3504602;3471;0;0;200;0;0;5;0;2236;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;500;0;500;0;0;0
Balbinos ;3504701;5276;0;0;0;0;0;0;0;5236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0
Bálsamo ;3504800;7450;0;0;300;0;0;0;0;6650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;400;0;0;0
Bananal ;3504909;336;0;0;0;0;0;0;0;60;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;241;0;0;0;0;0
Barăo de Antonina ;3505005;5191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;731;0;4000;25;25;0
Barbosa ;3505104;11860;0;0;280;0;0;0;0;11300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;100;0;0;0
Bariri ;3505203;24698;0;0;670;0;0;0;0;21000;0;0;0;0;0;0;30;0;60;0;0;0;0;38;0;0;1350;0;1500;50;0;0
Barra Bonita ;3505302;8472;0;0;0;0;0;0;0;8406;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;56;0;0;0
Barra do Chapéu ;3505351;916;0;2;0;5;0;3;1;10;0;4;0;0;0;0;62;0;0;0;0;0;0;24;3;0;400;0;0;0;400;0
Barra do Turvo ;3505401;352;0;0;0;49;0;1;0;3;0;0;0;0;0;0;107;0;0;0;0;0;0;30;1;0;160;0;0;0;0;0
Barretos ;3505500;78701;0;0;2100;0;0;0;0;67200;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;4000;0;5072;250;0;0
Barrinha ;3505609;11033;0;0;400;0;0;0;0;10500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;83;0;0;0
Barueri ;3505708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bastos ;3505807;2010;0;0;0;0;0;0;0;1850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0
Batatais ;3505906;51045;0;0;0;15;0;0;0;45200;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;2000;0;3800;0;0;0
Bauru ;3506003;2509;0;0;480;0;0;0;0;1473;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;500;0;0;0;1;0
Bebedouro ;3506102;42287;0;0;1000;0;0;0;0;38710;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;465;0;2000;85;0;0
Bento de Abreu ;3506201;18420;0;0;0;0;0;0;0;16800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620;0;890;110;0;0
Bernardino de Campos ;3506300;10370;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;2000;0;3500;50;0;0
Bertioga ;3506359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bilac ;3506409;8468;0;0;0;0;0;0;0;3900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2068;0;2500;0;0;0
Birigui ;3506508;30516;0;0;0;0;0;0;0;9300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6200;0;11816;3200;0;0
Biritiba Mirim ;3506607;32;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;0
Boa Esperança do Sul ;3506706;37190;0;0;800;0;0;0;0;35000;0;0;0;0;0;0;0;0;40;0;0;0;0;150;0;0;400;0;800;0;0;0
Bocaina ;3506805;16704;0;0;0;0;0;0;0;16000;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;350;0;351;0;0;0
Bofete ;3506904;560;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;200;0;0;0;0;0
Boituva ;3507001;7020;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;15;0;0;0;0;0;0;5;0;0;400;0;600;0;0;0
Bom Jesus dos Perdőes ;3507100;39;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;30;0;0;0;0;0
Bom Sucesso de Itararé ;3507159;190;0;0;0;0;0;0;1;0;0;3;0;0;0;0;20;0;0;0;0;0;0;4;2;0;150;0;0;0;10;0
Borá ;3507209;5687;0;0;545;0;0;0;0;5039;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0
Boracéia ;3507308;8087;0;0;0;0;0;0;0;7300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;727;0;0;0
Borborema ;3507407;33878;0;0;3000;0;0;20;0;29340;0;0;0;0;0;0;0;0;0;0;0;0;0;20;300;0;400;0;498;300;0;0
Borebi ;3507456;5873;0;0;0;0;0;1;0;4292;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;1390;175;0;0
Botucatu ;3507506;29587;0;0;0;38;0;3;0;20300;0;0;0;0;0;0;1030;0;0;0;0;0;0;60;0;0;5225;0;2314;3;34;0
Bragança Paulista ;3507605;5359;0;0;0;0;15;0;50;5;0;0;0;0;0;0;56;0;0;0;0;0;0;15;0;0;4000;0;800;0;35;0
Braúna ;3507704;8797;0;0;220;0;0;800;0;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;200;0;270;0;0;0
Brejo Alegre ;3507753;7564;0;0;0;0;0;0;0;1700;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;250;0;3200;2400;0;0
Brodowski ;3507803;15144;0;0;0;0;0;0;0;14394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;350;0;0;0
Brotas ;3507902;37101;0;0;1069;0;0;0;0;33200;0;0;0;0;0;0;111;0;0;0;0;0;0;42;0;0;1303;0;1254;122;0;0
Buri ;3508009;45892;0;0;0;0;0;82;230;0;0;0;0;0;0;0;2240;0;0;0;0;0;0;0;40;0;14710;0;21000;850;240;0
Buritama ;3508108;10572;0;0;37;0;0;0;0;9000;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;550;0;590;300;5;0
Buritizal ;3508207;13787;0;0;165;0;0;0;0;11600;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;200;0;1600;200;10;0
Cabrália Paulista ;3508306;615;0;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;30;0;130;0;1;0
Cabreúva ;3508405;145;0;0;0;0;0;0;0;5;0;0;0;0;0;0;15;0;0;0;0;0;0;5;0;0;120;0;0;0;0;0
Caçapava ;3508504;3440;0;0;0;1300;0;0;80;2000;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cachoeira Paulista ;3508603;338;0;0;0;150;0;0;0;100;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;50;0;0;0;20;0
Caconde ;3508702;1072;0;0;0;0;0;0;20;200;0;2;0;0;0;0;25;0;0;0;0;0;0;5;0;0;700;0;120;0;0;0
Cafelândia ;3508801;35036;0;0;1452;0;0;0;0;32635;0;0;0;0;0;0;0;0;0;0;0;0;0;2;117;0;165;0;600;0;65;0
Caiabu ;3508900;6505;0;0;0;0;0;95;0;5950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460;0;0;0;0;0
Caieiras ;3509007;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caiuá ;3509106;3749;0;0;0;0;0;0;0;2821;0;0;0;0;0;0;0;0;0;0;0;0;0;570;50;0;100;0;200;0;3;0
Cajamar ;3509205;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cajati ;3509254;59;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;26;0;0;25;0;0;0;0;0
Cajobi ;3509304;8455;0;0;194;0;0;100;0;7986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0
Cajuru ;3509403;24375;0;0;150;0;0;0;0;23000;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;800;0;400;0;0;0
Campina do Monte Alegre ;3509452;12033;0;0;0;0;0;0;200;0;0;0;0;0;0;0;400;0;0;0;0;0;0;2;30;0;5700;0;4000;1000;1;0
Campinas ;3509502;2823;0;0;0;0;0;1;0;1600;0;0;0;0;0;0;50;0;0;0;0;0;0;120;0;0;250;0;800;0;2;0
Campo Limpo Paulista ;3509601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos do Jordăo ;3509700;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0
Campos Novos Paulista ;3509809;37396;0;0;900;0;250;0;0;7395;0;0;0;0;0;0;57;0;0;0;0;0;0;2995;0;0;10310;0;13938;1550;1;0
Cananéia ;3509908;135;0;0;0;8;0;1;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;108;1;0;5;0;0;0;0;0
Canas ;3509957;400;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cândido Mota ;3510005;71830;0;0;0;0;500;0;0;21000;0;0;0;0;0;0;340;0;0;0;0;0;0;255;0;0;24100;0;25600;0;5;0
Cândido Rodrigues ;3510104;2707;0;0;100;0;0;80;0;2340;0;24;0;0;0;0;0;0;0;0;0;0;0;23;0;0;140;0;0;0;0;0
Canitar ;3510153;5129;0;0;0;0;0;0;0;2564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1054;0;1511;0;0;0
Capăo Bonito ;3510203;47600;0;0;0;0;0;80;250;0;0;80;0;0;0;0;5000;0;0;0;0;0;0;15;25;0;17000;0;19000;0;150;0
Capela do Alto ;3510302;3152;0;0;0;0;0;0;0;500;0;0;0;0;0;0;150;0;0;0;0;0;0;250;100;0;950;0;700;0;2;0
Capivari ;3510401;21680;0;0;0;0;0;0;0;21500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;30;0;0;0
Caraguatatuba ;3510500;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0
Carapicuíba ;3510609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardoso ;3510708;21687;1397;0;0;0;0;0;0;16673;0;0;0;0;0;0;637;0;0;0;0;0;0;0;0;0;452;0;2466;0;62;0
Casa Branca ;3510807;50120;0;0;0;0;0;20;4500;17800;0;350;0;0;0;0;3200;0;0;0;0;0;0;300;0;0;10750;0;12800;400;0;0
Cássia dos Coqueiros ;3510906;2479;0;0;20;4;0;0;0;1800;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;300;0;350;0;0;0
Castilho ;3511003;41470;0;0;0;0;0;0;0;38750;0;0;0;0;0;0;100;0;0;0;0;0;0;120;0;0;500;0;2000;0;0;0
Catanduva ;3511102;15806;0;0;220;0;0;0;0;15423;0;0;0;0;0;0;0;0;0;0;0;0;18;30;0;0;5;0;110;0;0;0
Catiguá ;3511201;8722;0;0;0;0;0;0;0;8500;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;200;0;0;0;0;0
Cedral ;3511300;5631;0;0;0;0;0;0;0;5400;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;130;0;85;0;0;0
Cerqueira César ;3511409;24500;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;5900;0;5950;0;0;0
Cerquilho ;3511508;6482;0;0;0;0;0;0;0;5302;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;400;0;700;0;0;0
Cesário Lange ;3511607;16824;0;0;0;0;0;0;0;13200;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;1250;0;2100;0;4;0
Charqueada ;3511706;9653;0;0;0;0;0;0;0;9500;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;140;0;0;0;0;0
Clementina ;3511904;6706;0;0;0;0;0;270;0;5700;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;80;0;590;0;0;0
Colina ;3512001;26820;0;0;600;0;0;0;0;25120;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;450;0;600;0;0;0
Colômbia ;3512100;42689;0;0;2500;0;0;0;0;38000;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;90;0;2000;0;0;0
Conchal ;3512209;8120;0;0;0;0;0;0;0;2800;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;1000;0;3500;0;20;0
Conchas ;3512308;3157;0;0;0;0;0;0;0;2670;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;240;0;240;0;0;0
Cordeirópolis ;3512407;11331;0;0;0;0;0;0;0;10250;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;800;0;270;0;5;0
Coroados ;3512506;17070;0;0;0;0;0;225;0;9300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;0;3700;345;0;0
Coronel Macedo ;3512605;21401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;4000;0;9500;1500;1;0
Corumbataí ;3512704;4375;0;1;0;0;0;0;2;3700;0;0;0;0;0;0;51;0;0;0;0;0;0;110;1;0;200;0;200;110;0;0
Cosmópolis ;3512803;6880;0;0;0;0;0;0;0;6080;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;600;0;140;0;10;0
Cosmorama ;3512902;17731;50;0;242;0;0;0;0;17000;0;0;0;0;0;0;36;0;0;0;0;0;0;3;0;0;200;0;200;0;0;0
Cotia ;3513009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cravinhos ;3513108;22420;0;0;300;0;0;0;0;21780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;40;0
Cristais Paulista ;3513207;7100;0;0;0;0;0;0;0;5500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;600;0;0;0
Cruzália ;3513306;19737;0;0;0;60;8;0;0;3407;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8580;0;7680;0;1;0
Cruzeiro ;3513405;222;0;0;0;52;0;2;0;25;0;0;0;0;0;0;50;0;0;0;0;0;0;20;0;0;61;0;0;0;12;0
Cubatăo ;3513504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cunha ;3513603;966;0;0;0;0;0;0;10;0;0;0;0;0;0;0;100;0;0;0;0;0;0;16;0;0;840;0;0;0;0;0
Descalvado ;3513702;31195;0;0;0;0;0;0;280;29000;0;0;0;0;0;0;2;0;0;0;0;0;0;61;0;0;850;0;1000;0;0;0
Dirce Reis ;3513850;2050;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0
Divinolândia ;3513900;1685;0;0;0;0;0;0;600;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;0;30;0;5;0
Dobrada ;3514007;10756;0;0;500;0;0;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;40;0;210;0;0;0
Dois Córregos ;3514106;40340;0;0;68;0;0;0;0;39000;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;280;0;924;0;0;0
Dolcinópolis ;3514205;2430;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0
