Municipio;Codigo;Total2020 (ha);Algodăo herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grăo);Batatadoce;Batatainglesa;Canadeaçúcar;Cana para forragem;Cebola;Centeio (em grăo);Cevada (em grăo);Ervilha (em grăo);Fava (em grăo);Feijăo (em grăo);Fumo (em folha);Girassol (em grăo);Juta (fibra);Linho (semente);Malva (fibra);Mamona (baga);Mandioca;Melancia;Melăo;Milho (em grăo);Rami (fibra);Soja (em grăo);Sorgo (em grăo);Tomate;Trigo (em grăo)
Dourado ;3514304;6861;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630;0;230;0;1;0
Dracena ;3514403;13846;0;0;1000;0;0;3;0;12500;0;0;0;0;0;0;0;0;0;0;0;0;0;26;15;0;300;0;0;0;1;0
Duartina ;3514502;308;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;50;0;0;0;1;0
Dumont ;3514601;10107;0;0;1200;0;0;0;0;8500;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;72;0;300;30;0;0
Echaporă ;3514700;11197;0;0;1200;0;300;8;0;2400;0;0;0;0;0;0;8;0;0;0;0;0;0;2005;25;0;2050;0;3200;0;1;0
Eldorado ;3514809;133;0;0;0;20;0;1;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;5;0;0;75;0;0;0;1;0
Elias Fausto ;3514908;7790;0;0;0;0;0;30;170;6200;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;600;0;700;0;70;0
Elisiário ;3514924;6193;0;0;0;0;0;0;0;6167;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0
Embaúba ;3514957;6290;0;0;72;0;0;7;0;6150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;50;0;0;0
Embu das Artes ;3515004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EmbuGuaçu ;3515103;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;1;0
Emilianópolis ;3515129;5646;0;0;0;0;0;300;0;3388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;985;0;972;0;0;0
Engenheiro Coelho ;3515152;5141;0;0;0;0;0;35;4;2400;0;0;0;0;0;0;2;0;0;0;0;0;0;800;0;0;1300;0;600;0;0;0
Espírito Santo do Pinhal ;3515186;2783;0;0;0;0;0;3;25;1700;0;0;0;0;0;0;25;0;0;0;0;0;0;10;0;0;1000;0;0;0;20;0
Espírito Santo do Turvo ;3515194;5192;0;0;0;0;0;0;0;2169;0;0;0;0;0;0;0;0;0;0;0;0;0;22;250;0;650;0;2100;0;1;0
Estrela d'Oeste ;3515202;9310;0;0;0;0;0;0;0;8670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;80;160;0;0
Estrela do Norte ;3515301;8737;0;0;0;0;0;0;0;7772;0;0;0;0;0;0;0;0;0;0;0;0;0;330;0;0;120;0;515;0;0;0
Euclides da Cunha Paulista ;3515350;6407;0;0;0;0;0;3;0;4094;0;0;0;0;0;0;0;0;0;0;0;0;0;1010;0;0;800;0;500;0;0;0
Fartura ;3515400;8500;0;0;0;0;0;0;0;200;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;2800;0;5000;100;0;0
Fernandópolis ;3515509;17700;0;0;0;0;0;0;0;17000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;200;0;0;0
Fernando Prestes ;3515608;9926;0;0;300;0;0;55;0;9500;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;33;0;0;0;0;0
Fernăo ;3515657;663;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;160;0;0;300;0;200;0;0;0
Ferraz de Vasconcelos ;3515707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flora Rica ;3515806;5554;0;0;200;0;0;50;0;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;500;0;600;0;0;0
Floreal ;3515905;3200;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;200;0;0;0
Flórida Paulista ;3516002;19632;60;0;300;0;0;100;0;18100;0;0;0;0;0;0;50;0;0;0;0;0;0;10;5;5;700;0;300;0;2;0
Florínea ;3516101;23594;0;0;0;0;96;0;0;8876;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7070;0;7550;0;0;0
Franca ;3516200;5428;0;0;0;0;0;0;0;3880;0;0;0;0;0;0;40;0;0;0;0;0;0;6;0;0;500;0;1000;0;2;0
Francisco Morato ;3516309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Franco da Rocha ;3516408;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0
Gabriel Monteiro ;3516507;5335;0;0;410;0;0;20;0;4300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;325;0;0;0
Gália ;3516606;2224;0;0;0;0;0;2;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;670;0;0;650;0;850;0;2;0
Garça ;3516705;4251;0;0;600;0;0;1;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;520;0;0;2500;0;600;0;0;0
Gastăo Vidigal ;3516804;5935;0;0;0;0;0;0;0;5450;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;190;0;290;0;2;0
Gaviăo Peixoto ;3516853;8859;0;0;200;0;0;0;0;6300;0;0;0;0;0;0;0;0;150;0;0;0;0;302;0;0;500;0;1400;0;0;0
General Salgado ;3516903;14193;0;0;87;0;0;0;0;13000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;500;0;600;0;0;0
Getulina ;3517000;23175;0;0;3500;0;0;120;0;18450;0;0;0;0;0;0;0;0;0;0;0;0;0;530;25;0;200;0;300;50;0;0
Glicério ;3517109;12410;0;0;0;0;0;240;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;2050;0;0;0
Guaiçara ;3517208;8214;0;0;688;0;0;0;0;7055;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;71;0;395;0;0;0
Guaimbę ;3517307;4598;0;0;1079;0;0;11;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;748;35;0;225;0;0;0;0;0
Guaíra ;3517406;109320;0;0;0;0;0;0;0;62000;0;0;0;0;0;0;2300;0;0;0;0;0;0;20;0;0;20300;0;23500;600;600;0
Guapiaçu ;3517505;16739;0;0;100;0;0;0;0;15376;0;4;0;0;0;0;0;0;0;0;0;0;0;7;2;0;150;0;1100;0;0;0
Guapiara ;3517604;11930;0;0;0;4;0;25;5;0;0;10;0;0;0;0;175;0;0;0;0;0;0;10;1;0;2500;0;4500;0;700;0
Guará ;3517703;27859;0;0;0;0;0;0;0;22800;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;587;0;4218;250;1;0
Guaraçaí ;3517802;26972;0;0;0;0;0;0;0;25000;0;0;0;0;0;0;0;0;0;0;0;0;0;60;12;0;300;0;0;0;0;0
Guaraci ;3517901;41436;0;0;0;0;0;7;0;39900;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;885;0;640;0;0;0
Guarani d'Oeste ;3518008;1890;0;0;0;0;0;0;0;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;30;10;0;0
Guarantă ;3518107;13769;0;0;2000;0;0;0;0;11249;0;0;0;0;0;0;0;0;0;0;0;0;0;8;130;0;180;0;200;0;2;0
Guararapes ;3518206;47890;0;0;100;0;0;0;0;40100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;5150;500;40;0
Guararema ;3518305;171;0;0;0;0;0;1;0;20;0;0;0;0;0;0;40;0;0;0;0;0;0;100;0;0;0;0;0;0;10;0
Guaratinguetá ;3518404;2385;0;0;0;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;190;0;70;0;0;0
Guareí ;3518503;6341;0;0;0;6;0;0;0;750;0;0;0;0;0;0;93;0;0;0;0;0;0;50;140;0;3250;0;1750;0;2;0
Guariba ;3518602;25184;0;0;2500;0;0;0;0;21200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1320;0;0;0
Guarujá ;3518701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guarulhos ;3518800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guatapará ;3518859;26394;0;5;171;0;0;0;0;25391;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;772;0;37;0;0;0
Guzolândia ;3518909;4050;0;0;50;0;0;0;0;3100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;600;0;0;0
Herculândia ;3519006;17210;0;0;5800;0;0;48;0;10100;0;0;0;0;0;0;0;0;0;0;0;0;0;432;0;0;480;0;350;0;0;0
Holambra ;3519055;1907;0;0;0;0;0;0;0;300;0;0;0;0;0;0;34;0;25;0;0;0;0;4;0;0;700;0;600;20;4;0
Hortolândia ;3519071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iacanga ;3519105;26114;0;0;1000;0;0;0;0;20390;0;0;0;0;0;0;0;0;223;0;0;0;0;0;0;0;500;0;4000;0;1;0
Iacri ;3519204;12425;0;0;1080;0;0;490;0;10600;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;90;0;0;0;0;0
Iaras ;3519253;7307;0;0;0;0;0;0;0;4100;0;0;0;0;0;0;200;0;0;0;0;0;0;45;0;0;850;0;1500;0;0;0
Ibaté ;3519303;15245;0;0;0;0;0;0;0;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;140;0;0;0
Ibirá ;3519402;14024;0;0;0;0;0;0;0;12900;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;650;0;450;0;0;0
Ibirarema ;3519501;26365;0;0;0;0;0;0;0;7500;0;0;0;0;0;0;35;0;0;0;0;0;0;800;0;0;6400;0;11130;0;0;0
Ibitinga ;3519600;36840;0;0;3000;0;0;0;0;31000;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;800;0;2000;0;0;0
Ibiúna ;3519709;3153;0;1;0;2;0;3;250;0;0;200;0;0;0;0;280;0;0;0;0;0;0;110;0;0;1700;0;250;0;107;0
Icém ;3519808;10960;0;0;1300;0;0;0;0;8500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850;0;200;100;0;0
Iepę ;3519907;44832;0;0;850;0;0;0;0;20000;0;0;0;0;0;0;280;0;0;0;0;0;0;82;0;0;11220;0;12050;350;0;0
Igaraçu do Tietę ;3520004;6889;0;0;0;0;0;0;0;6886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Igarapava ;3520103;27875;0;0;85;0;0;0;0;25150;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;350;0;2190;70;2;0
Igaratá ;3520202;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Iguape ;3520301;2242;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;172;0;0;40;0;0;0;0;0
Ilhabela ;3520400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ilha Solteira ;3520442;19772;0;0;265;0;0;0;0;18500;0;0;0;0;0;0;90;0;0;0;0;0;0;20;0;0;100;0;797;0;0;0
Indaiatuba ;3520509;4083;0;0;0;0;0;0;200;2000;0;0;0;0;0;0;600;0;0;0;0;0;0;23;0;0;900;0;350;0;10;0
Indiana ;3520608;1367;0;0;304;0;0;161;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;606;0;0;122;0;122;0;0;0
Indiaporă ;3520707;6590;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;890;400;0;0
Inúbia Paulista ;3520806;2602;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;200;0;0;0
Ipaussu ;3520905;19049;0;0;0;0;0;0;0;16840;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;800;0;1400;0;0;0
Iperó ;3521002;1747;0;0;0;0;0;3;0;900;0;0;0;0;0;0;88;0;0;0;0;0;0;110;20;0;508;0;115;0;3;0
Ipeúna ;3521101;5227;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;200;0;0;0;0;0
Ipiguá ;3521150;2983;0;0;100;0;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;220;0;150;0;1;0
Iporanga ;3521200;369;0;0;0;50;0;15;0;15;0;0;0;0;0;0;100;0;0;0;0;0;0;35;0;0;150;0;0;0;1;0
Ipuă ;3521309;40625;0;0;0;0;0;0;0;28000;0;0;0;0;0;0;179;0;0;0;0;0;0;1;0;0;1923;0;10183;300;39;0
Iracemápolis ;3521408;8214;0;0;0;0;0;0;0;7700;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;0;500;0;0;0
Irapuă ;3521507;13484;0;0;300;0;0;6;0;11260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;200;0;18;0
Irapuru ;3521606;4664;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;20;0;0;0;0;0;0;10;4;0;130;0;0;0;0;0
Itaberá ;3521705;87703;0;2;0;10;50;6;500;0;0;3;0;0;0;0;5200;0;0;0;0;0;0;40;10;0;15000;0;41000;800;80;0
Itaí ;3521804;75090;4000;0;0;0;0;0;1000;15000;0;0;0;0;0;0;8000;0;0;0;0;0;0;90;0;0;13500;0;20000;2500;0;0
Itajobi ;3521903;27440;0;0;1000;0;0;0;0;26000;0;0;0;0;0;0;0;10;0;0;0;0;0;30;0;0;400;0;0;0;0;0
Itaju ;3522000;8518;0;0;550;0;0;0;0;7000;0;0;0;0;0;0;0;0;90;0;0;0;0;0;73;0;225;0;400;180;0;0
Itanhaém ;3522109;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
Itaoca ;3522158;153;0;0;1;2;0;2;0;25;0;0;0;0;0;0;45;0;0;0;0;0;0;23;0;0;45;0;0;0;10;0
Itapecerica da Serra ;3522208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itapetininga ;3522307;49750;0;0;0;0;0;0;1000;6000;0;0;0;0;0;0;800;0;0;0;0;0;0;170;250;0;12000;0;22500;3000;30;0
Itapeva ;3522406;177357;1500;0;2;300;0;80;2100;2500;0;130;0;2000;0;0;10000;0;0;0;0;0;0;45;200;0;45500;0;81000;2500;1500;0
Itapevi ;3522505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itapira ;3522604;6927;0;0;0;3;0;0;0;4866;0;0;0;0;0;0;3;0;0;0;0;0;0;270;0;0;1280;0;500;0;5;0
Itapirapuă Paulista ;3522653;129;0;0;0;5;0;1;0;15;0;1;0;0;0;0;40;0;0;0;0;0;0;10;5;0;50;0;0;0;0;0
Itápolis ;3522703;44250;0;0;2300;0;0;150;0;33000;0;0;0;0;0;0;0;0;300;0;0;0;0;600;1400;0;2100;0;3500;900;0;0
Itaporanga ;3522802;15711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;10;0;0;1000;0;12000;500;1;0
Itapuí ;3522901;9187;0;0;0;0;0;0;0;8550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540;0;97;0;0;0
Itapura ;3523008;14180;0;0;0;0;0;0;0;10600;0;0;0;0;0;0;357;0;0;0;0;0;0;20;0;0;1563;0;1340;300;0;0
Itaquaquecetuba ;3523107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itararé ;3523206;48105;0;0;0;0;3000;0;0;30;0;15;0;0;0;0;3550;0;0;0;0;0;0;19;120;0;7800;0;22000;1200;70;0
Itariri ;3523305;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0
Itatiba ;3523404;1432;0;0;0;0;0;0;0;110;0;0;0;0;0;0;25;0;0;0;0;0;0;22;0;0;1200;0;60;0;15;0
Itatinga ;3523503;10550;0;0;0;0;0;0;0;7050;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;2000;0;1480;0;0;0
Itirapina ;3523602;8385;0;0;0;0;0;0;0;7500;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;580;0;300;0;1;0
Itirapuă ;3523701;1070;0;0;0;0;0;0;0;800;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;200;0;50;0;0;0
Itobi ;3523800;6050;0;0;0;0;0;0;0;1800;0;250;0;0;0;0;770;0;0;0;0;0;0;30;0;0;2200;0;1000;0;0;0
Itu ;3523909;2210;0;0;0;0;0;0;0;1400;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;500;0;300;0;0;0
Itupeva ;3524006;191;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;150;0;0;0;3;0
Ituverava ;3524105;58518;0;0;0;0;0;0;91;47500;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;1984;0;8407;350;64;0
Jaborandi ;3524204;21793;0;0;475;0;0;0;0;18800;0;0;0;0;0;0;172;0;0;0;0;0;0;0;0;0;676;0;1670;0;0;0
Jaboticabal ;3524303;70635;0;0;7700;0;0;0;0;57550;0;190;0;0;0;0;10;0;0;0;0;0;0;65;0;0;1300;0;3670;0;150;0
Jacareí ;3524402;20;0;0;0;0;0;0;0;8;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;3;0;0;0;1;0
Jaci ;3524501;7591;0;0;53;0;0;0;0;7018;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;400;0;50;0;0;0
Jacupiranga ;3524600;76;0;0;0;20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;40;0;0;0;0;0
Jaguariúna ;3524709;3004;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;350;0;120;0;4;0
Jales ;3524808;5743;0;0;0;0;0;0;0;5600;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;100;0;0;0;0;0
Jambeiro ;3524907;74;0;0;0;4;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jandira ;3525003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jardinópolis ;3525102;40507;0;0;1700;0;0;0;0;36000;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;650;0;2000;150;0;0
Jarinu ;3525201;439;0;0;0;0;0;0;0;20;0;0;0;0;0;0;9;0;0;0;0;0;0;30;0;0;380;0;0;0;0;0
Jaú ;3525300;48116;0;0;193;18;0;0;0;44000;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;500;0;2834;549;0;0
Jeriquara ;3525409;5943;0;0;0;0;0;0;0;4600;0;59;0;0;0;0;35;0;0;0;0;0;0;1;0;0;247;0;1000;0;1;0
Joanópolis ;3525508;237;0;0;0;0;0;0;30;0;0;5;0;0;0;0;20;0;0;0;0;0;0;4;0;0;170;0;0;0;8;0
Joăo Ramalho ;3525607;16760;0;0;1100;0;0;150;0;13650;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;150;0;1550;0;0;0
José Bonifácio ;3525706;44624;0;0;3500;0;0;7;0;36000;0;0;0;0;0;0;0;0;0;0;0;0;0;20;97;0;800;0;4200;0;0;0
Júlio Mesquita ;3525805;720;0;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;100;0;0;0;0;0
Jumirim ;3525854;610;0;0;0;0;0;0;0;440;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;120;0;30;0;0;0
Jundiaí ;3525904;296;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;80;0;0;200;0;0;0;1;0
Junqueirópolis ;3526001;25964;72;0;740;0;0;2;0;24900;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;200;0;40;0;1;0
Juquiá ;3526100;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;70;0;0;5;0;0;0;0;0
Juquitiba ;3526209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha ;3526308;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;14;0;0;250;0;0;0;2;0
Laranjal Paulista ;3526407;4762;0;0;0;0;0;2;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4100;0;150;0;0;0
Lavínia ;3526506;24204;0;0;0;0;0;0;0;22750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;939;0;0;0
Lavrinhas ;3526605;59;0;0;0;2;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;10;0;0;22;0;0;0;3;0
Leme ;3526704;29394;35;0;0;0;0;0;0;24300;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;2200;0;2800;0;14;0
Lençóis Paulista ;3526803;43270;0;0;0;0;0;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;3120;0;0;0
Limeira ;3526902;12510;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;10;0;0;0;0;0;0;300;0;0;1000;0;1200;0;0;0
Lindóia ;3527009;69;0;0;0;0;7;0;0;17;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;30;0;0;0;7;0
Lins ;3527108;27425;0;0;480;0;0;0;0;26000;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;450;0;480;0;13;0
Lorena ;3527207;241;0;0;0;150;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;56;0;20;0;0;0
Lourdes ;3527256;4350;0;0;480;0;0;0;0;2300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;800;590;0;0
Louveira ;3527306;82;0;0;0;0;0;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;14;0;0;50;0;0;0;1;0
Lucélia ;3527405;9047;0;0;50;0;0;0;0;7900;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;80;0;1000;0;0;0
Lucianópolis ;3527504;1431;0;0;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;400;300;0;150;0;200;0;1;0
Luís Antônio ;3527603;38100;0;0;1000;0;0;0;0;35000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;1500;0;0;0
Luiziânia ;3527702;6091;0;0;350;0;0;380;0;5161;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;80;0;80;0;0;0
Lupércio ;3527801;1598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;242;0;0;150;0;1200;0;4;0
Lutécia ;3527900;16605;0;0;2800;0;0;105;0;8100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;200;0;1800;0;3500;0;0;0
Macatuba ;3528007;15764;0;0;0;0;0;0;0;14193;0;0;0;0;0;0;76;0;0;0;0;0;0;31;0;0;170;0;1294;0;0;0
Macaubal ;3528106;7225;0;0;900;0;0;0;0;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;200;0;120;0;2;0
Macedônia ;3528205;6640;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;400;0;0;0
Magda ;3528304;16380;0;0;0;0;0;0;0;15200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;900;0;0;0
Mairinque ;3528403;734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;360;0;360;0;2;0
Mairiporă ;3528502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manduri ;3528601;13000;0;0;0;0;0;0;0;3350;0;0;0;0;0;0;4050;0;0;0;0;0;0;0;0;0;3600;0;2000;0;0;0
Marabá Paulista ;3528700;16054;0;0;0;0;0;0;0;14674;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;1000;0;50;0;0;0
